"","ID","Date","Likes","Comment"
"1",1,"2021-12-03 20:09:50",154,"neither one of you are"
"2",2,"2021-12-04 19:30:24",23,"even tho that kika is not like this AM OBSESSED WITH THIS😫😳"
"3",3,"2021-12-09 00:58:37",10,"who is simp you and your followers"
"4",4,"2021-12-09 08:47:17",5,"hello Kristina Kikakim i love you🥰🥰🥰"
"5",5,"2021-12-11 00:09:18",11,"🇩🇿🇩🇿🇩🇿🇩🇿🇩🇿kikakim love you"
"6",6,"2021-12-11 04:12:38",4,"I can't stop watching your videos please help me😁"
"7",7,"2021-12-11 09:56:04",4,"this is my favorite video 📸😍"
"8",8,"2021-12-13 21:13:14",3,"Your not"
"9",9,"2021-12-13 23:22:45",4,"I AM SEexxxxxuuuu xxxx"
"10",10,"2021-12-14 17:34:01",8,"when ur here at 500k likes"
"11",11,"2021-12-16 12:37:08",12,"ture😭"
"12",12,"2021-12-16 20:12:03",3,"why is she on my fyp"
"13",13,"2021-12-17 12:38:13",9,"wow"
"14",14,"2021-12-18 07:42:15",4,"yall shes a full grown adult why are yall acting like she cant change at all for you lmao"
"15",15,"2021-12-18 12:33:50",3,"ship"
"16",16,"2021-12-18 17:50:20",2,"I’m so obsessed with this song for some reason"
"17",17,"2021-12-18 19:30:04",2,"cool🥰🥰"
"18",18,"2021-12-19 03:02:04",2,"Woah you are So talented"
"19",19,"2021-12-19 03:31:07",2,"ong"
"20",20,"2021-12-19 04:27:04",2,"friend : how many times have you watched this ?Me : Yes 😂"
"21",21,"2021-12-19 04:35:14",2,"The girls cute"
"22",22,"2021-12-19 14:29:09",2,"late)leave her alone if you regrete supporting then leave we dont need to know if you regrete supporting"
"23",23,"2021-12-19 14:42:47",2,"exactly let people live their lives"
"24",24,"2021-12-19 15:13:12",2,"Yoo what about homa"
"25",25,"2021-12-19 16:32:00",2,"dont click on my profile 😳"
"26",26,"2021-12-19 17:52:14",2,"atleast she's happy"
"27",27,"2021-12-19 18:20:53",2,"Y'all are so pretty I swear on god I am not and old man lmao"
"28",28,"2021-12-19 19:37:51",2,"phone is:🤰"
"29",29,"2021-12-19 19:56:02",2,"my second cusin did this tiktok."
"30",30,"2021-12-19 20:11:29",8,"yes sam"
"31",31,"2021-12-20 00:27:40",4,"Hey, what's your favorite movie?"
"32",32,"2021-12-20 01:49:53",3,"Love this!"
"33",33,"2021-12-20 04:54:22",2,"@neptune my shining star 😞❤️🌟"
"34",34,"2021-12-20 06:23:44",3,"ima bet you that she asked her boyfriend to dye lol"
"35",35,"2021-12-20 13:38:49",4,"Why at first did I think that boy was Olly Murs"
"36",36,"2021-12-20 20:15:54",2,"IMG I POVE YOUR VIDS 🤩"
"37",37,"2021-12-20 23:36:37",10,"lol"
"38",38,"2021-12-21 03:25:03",2,"best couple"
"39",39,"2021-12-21 05:21:10",5,"i cant stop watching this- 😅"
"40",40,"2021-12-21 20:22:11",3,"I miss the old kikakiim... :("
"41",41,"2021-12-22 00:51:46",12,"i love You 👩‍🦲💐"
"42",42,"2021-12-22 11:58:01",3,"who is your boyfriend ?"
"43",43,"2021-12-22 20:32:50",3,"the song just reminds me of Level up"
"44",44,"2021-12-22 22:54:53",4,"me too😪"
"45",45,"2021-12-23 03:07:49",4,"guys don't bash kika she changed right but she can change as she wants like us"
"46",46,"2021-12-23 06:37:15",2,"Nice!!!!"
"47",47,"2021-12-23 18:20:29",4,"I miss the old you (chain)"
"48",48,"2021-12-24 00:43:01",2,"i live in bmore"
"49",49,"2021-12-24 04:06:29",4,"you are really pretty"
"50",50,"2021-12-24 04:24:25",3,"Just because someone changes doesn't mean you should hate on them..literally everyone has changes so whats the problem?"
"51",51,"2021-12-25 02:13:14",3,"Funny"
"52",52,"2021-12-25 15:04:01",4,"Sheee"
"53",53,"2021-12-25 16:33:57",5,"i love this"
"54",54,"2021-12-25 16:53:06",2,"bro what is his haircut"
"55",55,"2021-12-25 18:09:22",4,"you chaanged lol i miss the old you"
"56",56,"2021-12-26 00:54:17",10,"i love this"
"57",57,"2021-12-26 05:50:39",3,"@ted"
"58",58,"2021-12-27 05:13:17",4,"why yall cap"
"59",59,"2021-12-27 05:43:16",19,"I miss the old kikakiim 🥺"
"60",60,"2021-12-27 17:34:36",3,"STOP SAYING ""I MISS THE OLD KIKA SHE CHANGED"" NO MORE OF THAT STOP SHE IS A HUMAN SHE CAN CHANGE IF SHE WANT TO! thank u.😌"
"61",61,"2021-12-28 00:35:30",5,"She looks happier xx"
"62",62,"2021-12-28 00:35:36",12,"So leave her alone xxx"
"63",63,"2021-12-28 22:02:10",3,"such cutess"
"64",64,"2021-12-29 06:03:26",4,"omfg the old Kika was so much better"
"65",65,"2021-12-29 07:38:06",22,"What happened cause I was gone 💀"
"66",66,"2021-12-29 20:38:45",5,"teach me how to be beutiful plz"
"67",67,"2021-12-30 00:21:38",10,"you are"
"68",68,"2021-12-30 14:49:20",2,"ay yo that sus"
"69",69,"2021-12-30 14:55:07",4,"Idk I kinda miss the old you🥺But at the same time I like the vid!💜"
"70",70,"2021-12-31 00:24:19",2,"Never heard 20 ies in 1 video"
"71",71,"2021-12-31 02:23:07",3,"can you dye your hair light grey and black"
"72",72,"2021-12-31 03:42:46",4,"music name plss"
"73",73,"2021-12-31 07:26:32",4,"your cute"
"74",74,"2022-01-01 03:04:31",4,"I miss the OLD kikakiim ur not her. 😔"
"75",75,"2022-01-01 06:25:50",7,"like ye yall miss the old her but everyone changs by looks heart and how they act so live your own life and dont go to others life"
"76",76,"2022-01-02 15:07:28",2,"No"
"77",77,"2022-01-02 17:45:48",4,"my day got worse"
"78",78,"2022-01-02 21:02:26",2,"Lol!"
"79",79,"2022-01-03 20:44:59",2,"I like the new kikakiim why are uu guys so dramatic ? By the way this vid so catchy 🥰"
"80",80,"2022-01-04 00:54:21",5,"@markella it's me cam I'm using Safari for TikTok"
"81",81,"2022-01-05 04:38:14",10,"Hi"
"82",82,"2022-01-05 20:46:45",5,"wow"
"83",83,"2022-01-05 21:51:07",2,"if you say soo."
